route_id,ts,lat,lon,speed_kmh,engine_on,idle_flag
R-2023-05-01-00,2023-05-01 10:26:00,42.38451,-71.06199,0.0,1,1
R-2023-05-01-00,2023-05-01 10:41:46,42.32187,-71.06199,8.5,1,0
R-2023-05-01-00,2023-05-01 10:57:32,42.33406,-71.08311,26.5,1,0
R-2023-05-01-00,2023-05-01 11:13:19,42.3364,-71.03005,26.6,1,0
R-2023-05-01-00,2023-05-01 11:29:05,42.30612,-71.02936,29.7,1,0
R-2023-05-01-00,2023-05-01 11:44:52,42.3747,-71.06386,19.1,1,0
R-2023-05-01-00,2023-05-01 12:00:38,42.34524,-71.05091,27.0,1,0
R-2023-05-01-00,2023-05-01 12:16:25,42.34818,-71.06599,34.5,1,0
R-2023-05-01-00,2023-05-01 12:32:11,42.37592,-71.04869,27.9,1,0
R-2023-05-01-00,2023-05-01 12:47:58,42.35849,-71.07347,27.7,1,0
R-2023-05-01-00,2023-05-01 13:03:44,42.38309,-71.05242,26.3,1,0
R-2023-05-01-00,2023-05-01 13:19:31,42.35056,-71.07729,1.9,1,1
R-2023-05-01-00,2023-05-01 13:35:17,42.33567,-71.05449,35.1,1,0
R-2023-05-01-00,2023-05-01 13:51:04,42.36314,-71.02565,25.7,1,0
R-2023-05-01-00,2023-05-01 14:06:50,42.36975,-71.07961,21.8,1,0
R-2023-05-01-00,2023-05-01 14:22:37,42.36366,-71.05956,25.9,1,0
R-2023-05-01-00,2023-05-01 14:38:23,42.33873,-71.06425,31.2,1,0
R-2023-05-01-00,2023-05-01 14:54:10,42.36261,-71.06152,31.9,1,0
R-2023-05-01-00,2023-05-01 15:09:56,42.36594,-71.04014,24.9,1,0
R-2023-05-01-00,2023-05-01 15:25:43,42.35275,-71.07042,29.0,1,0
R-2023-05-01-00,2023-05-01 15:41:29,42.33493,-71.06644,18.2,1,0
R-2023-05-01-00,2023-05-01 15:57:16,42.36747,-71.07422,2.5,1,1
R-2023-05-01-00,2023-05-01 16:13:02,42.33474,-71.09022,0.0,1,1
R-2023-05-01-00,2023-05-01 16:28:49,42.34353,-71.06562,20.3,1,0
R-2023-05-01-00,2023-05-01 16:44:35,42.3764,-71.05993,33.5,1,0
R-2023-05-01-00,2023-05-01 17:00:22,42.39429,-71.09113,31.8,1,0
R-2023-05-01-00,2023-05-01 17:16:08,42.37901,-71.03424,9.3,1,0
R-2023-05-01-00,2023-05-01 17:31:55,42.33005,-71.05047,33.6,1,0
R-2023-05-01-00,2023-05-01 17:47:41,42.3483,-71.07898,0.0,1,1
R-2023-05-01-00,2023-05-01 18:03:28,42.36385,-71.06182,32.8,1,0
R-2023-05-01-00,2023-05-01 18:19:14,42.36625,-71.07336,21.4,1,0
R-2023-05-01-00,2023-05-01 18:35:01,42.3733,-71.06957,29.9,1,0
R-2023-05-01-00,2023-05-01 18:50:47,42.32667,-71.04723,21.2,1,0
R-2023-05-01-01,2023-05-01 10:06:00,40.73276,-74.01169,2.1,1,1
R-2023-05-01-01,2023-05-01 10:18:44,40.72186,-74.016,0.0,1,1
R-2023-05-01-01,2023-05-01 10:31:28,40.7171,-74.00927,2.8,1,1
R-2023-05-01-01,2023-05-01 10:44:12,40.7061,-73.99815,23.5,1,0
R-2023-05-01-01,2023-05-01 10:56:56,40.71105,-74.00963,0.0,1,1
R-2023-05-01-01,2023-05-01 11:09:40,40.72366,-74.02481,27.0,1,0
R-2023-05-01-01,2023-05-01 11:22:24,40.70976,-73.99395,16.6,1,0
R-2023-05-01-01,2023-05-01 11:35:09,40.71793,-73.98657,28.5,1,0
R-2023-05-01-01,2023-05-01 11:47:53,40.71167,-74.00221,3.3,1,0
R-2023-05-01-01,2023-05-01 12:00:37,40.70734,-74.048,25.5,1,0
R-2023-05-01-01,2023-05-01 12:13:21,40.72279,-74.0328,35.5,1,0
R-2023-05-01-01,2023-05-01 12:26:05,40.70785,-74.03803,3.4,1,0
R-2023-05-01-01,2023-05-01 12:38:49,40.70361,-74.02129,28.1,1,0
R-2023-05-01-01,2023-05-01 12:51:33,40.70064,-74.02992,38.7,1,0
R-2023-05-01-01,2023-05-01 13:04:18,40.70626,-74.02004,29.5,1,0
R-2023-05-01-01,2023-05-01 13:17:02,40.67469,-74.00246,28.1,1,0
R-2023-05-01-01,2023-05-01 13:29:46,40.70038,-73.9966,4.2,1,0
R-2023-05-01-01,2023-05-01 13:42:30,40.69994,-73.99722,21.8,1,0
R-2023-05-01-01,2023-05-01 13:55:14,40.70979,-73.99386,31.1,1,0
R-2023-05-01-01,2023-05-01 14:07:58,40.69863,-74.01852,19.6,1,0
R-2023-05-01-01,2023-05-01 14:20:43,40.68647,-74.04482,0.0,1,1
R-2023-05-01-01,2023-05-01 14:33:27,40.67462,-74.01446,34.9,1,0
R-2023-05-01-01,2023-05-01 14:46:11,40.73644,-74.01477,19.0,1,0
R-2023-05-01-01,2023-05-01 14:58:55,40.73564,-74.02902,28.1,1,0
R-2023-05-01-01,2023-05-01 15:11:39,40.75698,-74.02184,36.4,1,0
R-2023-05-01-01,2023-05-01 15:24:23,40.71659,-74.01348,26.1,1,0
R-2023-05-01-01,2023-05-01 15:37:07,40.67911,-74.05376,26.9,1,0
R-2023-05-01-01,2023-05-01 15:49:52,40.69692,-74.03393,27.7,1,0
R-2023-05-01-01,2023-05-01 16:02:36,40.68217,-73.97068,3.6,1,0
R-2023-05-01-01,2023-05-01 16:15:20,40.72277,-74.00557,26.9,1,0
R-2023-05-01-01,2023-05-01 16:28:04,40.71797,-74.01899,18.3,1,0
R-2023-05-01-01,2023-05-01 16:40:48,40.67717,-73.98658,26.0,1,0
R-2023-05-01-02,2023-05-01 10:17:00,40.69864,-74.01034,22.1,1,0
R-2023-05-01-02,2023-05-01 10:29:07,40.71473,-74.01166,32.6,1,0
R-2023-05-01-02,2023-05-01 10:41:15,40.70902,-74.01617,23.3,1,0
R-2023-05-01-02,2023-05-01 10:53:23,40.69864,-74.01058,30.0,1,0
R-2023-05-01-02,2023-05-01 11:05:31,40.70747,-74.00681,31.9,1,0
R-2023-05-01-02,2023-05-01 11:17:39,40.70337,-73.99059,0.0,1,1
R-2023-05-01-02,2023-05-01 11:29:46,40.72946,-74.00923,30.4,1,0
R-2023-05-01-02,2023-05-01 11:41:54,40.72091,-74.00568,20.8,1,0
R-2023-05-01-02,2023-05-01 11:54:02,40.71868,-74.00722,0.0,1,1
R-2023-05-01-02,2023-05-01 12:06:10,40.70831,-74.01605,31.4,1,0
R-2023-05-01-02,2023-05-01 12:18:18,40.7016,-73.99013,34.6,1,0
R-2023-05-01-02,2023-05-01 12:30:25,40.7034,-74.0225,27.3,1,0
R-2023-05-01-02,2023-05-01 12:42:33,40.72698,-74.01743,0.0,1,1
R-2023-05-01-02,2023-05-01 12:54:41,40.70874,-74.0186,24.7,1,0
R-2023-05-01-02,2023-05-01 13:06:49,40.68232,-74.0041,24.3,1,0
R-2023-05-01-02,2023-05-01 13:18:57,40.70981,-74.03498,0.0,1,1
R-2023-05-01-02,2023-05-01 13:31:04,40.70245,-74.02434,32.6,1,0
R-2023-05-01-02,2023-05-01 13:43:12,40.68766,-74.01613,30.8,1,0
R-2023-05-01-02,2023-05-01 13:55:20,40.71698,-74.00373,26.0,1,0
R-2023-05-01-02,2023-05-01 14:07:28,40.70133,-74.04722,30.7,1,0
R-2023-05-01-02,2023-05-01 14:19:36,40.70267,-73.9943,30.2,1,0
R-2023-05-01-02,2023-05-01 14:31:43,40.68206,-74.00826,27.5,1,0
R-2023-05-01-02,2023-05-01 14:43:51,40.69552,-74.02282,31.4,1,0
R-2023-05-01-02,2023-05-01 14:55:59,40.735,-74.00886,0.0,1,1
R-2023-05-01-02,2023-05-01 15:08:07,40.7031,-74.03707,23.3,1,0
R-2023-05-01-02,2023-05-01 15:20:15,40.69872,-74.00503,28.5,1,0
R-2023-05-01-02,2023-05-01 15:32:22,40.7052,-73.99909,28.6,1,0
R-2023-05-01-02,2023-05-01 15:44:30,40.71411,-74.02037,33.9,1,0
R-2023-05-01-02,2023-05-01 15:56:38,40.68643,-74.00158,23.0,1,0
R-2023-05-01-02,2023-05-01 16:08:46,40.7219,-74.00259,25.8,1,0
R-2023-05-01-02,2023-05-01 16:20:54,40.69714,-74.02137,27.3,1,0
R-2023-05-01-03,2023-05-01 10:20:00,47.62892,-122.35889,0.1,1,1
R-2023-05-01-03,2023-05-01 10:28:41,47.61537,-122.31281,0.0,1,1
R-2023-05-01-03,2023-05-01 10:37:22,47.61889,-122.33362,0.0,1,1
R-2023-05-01-03,2023-05-01 10:46:03,47.61398,-122.28834,2.1,1,1
R-2023-05-01-03,2023-05-01 10:54:44,47.62138,-122.36884,26.6,1,0
R-2023-05-01-03,2023-05-01 11:03:25,47.58753,-122.34265,31.0,1,0
R-2023-05-01-03,2023-05-01 11:12:06,47.66022,-122.3205,31.2,1,0
R-2023-05-01-03,2023-05-01 11:20:47,47.62921,-122.32636,28.7,1,0
R-2023-05-01-03,2023-05-01 11:29:28,47.61158,-122.30407,30.6,1,0
R-2023-05-01-03,2023-05-01 11:38:09,47.59706,-122.34231,29.0,1,0
R-2023-05-01-03,2023-05-01 11:46:50,47.60762,-122.33996,23.1,1,0
R-2023-05-01-03,2023-05-01 11:55:31,47.61868,-122.32813,25.2,1,0
R-2023-05-01-03,2023-05-01 12:04:12,47.5989,-122.30653,31.3,1,0
R-2023-05-01-03,2023-05-01 12:12:53,47.6177,-122.30861,27.9,1,0
R-2023-05-01-03,2023-05-01 12:21:34,47.59577,-122.34941,27.6,1,0
R-2023-05-01-03,2023-05-01 12:30:15,47.63027,-122.34558,30.1,1,0
R-2023-05-01-03,2023-05-01 12:38:56,47.57261,-122.36562,7.6,1,0
R-2023-05-01-03,2023-05-01 12:47:37,47.63156,-122.30331,31.7,1,0
R-2023-05-01-03,2023-05-01 12:56:18,47.61454,-122.3075,36.3,1,0
R-2023-05-01-03,2023-05-01 13:04:59,47.59513,-122.33371,3.1,1,0
R-2023-05-01-03,2023-05-01 13:13:40,47.62263,-122.32655,20.3,1,0
R-2023-05-01-03,2023-05-01 13:22:21,47.60482,-122.33252,26.8,1,0
R-2023-05-01-03,2023-05-01 13:31:02,47.62118,-122.31658,32.0,1,0
R-2023-05-01-03,2023-05-01 13:39:43,47.63649,-122.35913,0.0,1,1
R-2023-05-01-03,2023-05-01 13:48:24,47.63395,-122.33285,0.0,1,1
R-2023-05-01-03,2023-05-01 13:57:05,47.62495,-122.31054,26.6,1,0
R-2023-05-01-03,2023-05-01 14:05:46,47.61447,-122.31231,33.9,1,0
R-2023-05-01-03,2023-05-01 14:14:27,47.61505,-122.33232,20.3,1,0
R-2023-05-01-03,2023-05-01 14:23:08,47.62245,-122.33303,39.4,1,0
R-2023-05-01-03,2023-05-01 14:31:49,47.60818,-122.32943,24.3,1,0
R-2023-05-01-03,2023-05-01 14:40:30,47.62413,-122.34213,18.3,1,0
R-2023-05-01-03,2023-05-01 14:49:11,47.61735,-122.32038,19.0,1,0
R-2023-05-01-03,2023-05-01 14:57:52,47.60475,-122.35564,34.3,1,0
R-2023-05-01-03,2023-05-01 15:06:33,47.57075,-122.32362,22.9,1,0
R-2023-05-01-03,2023-05-01 15:15:14,47.60697,-122.36537,2.4,1,1
R-2023-05-01-03,2023-05-01 15:23:55,47.61037,-122.35924,29.1,1,0
R-2023-05-01-03,2023-05-01 15:32:36,47.62987,-122.32296,34.9,1,0
R-2023-05-01-03,2023-05-01 15:41:17,47.60912,-122.37044,25.9,1,0
R-2023-05-01-03,2023-05-01 15:49:58,47.59714,-122.33886,24.6,1,0
R-2023-05-01-03,2023-05-01 15:58:39,47.61592,-122.36098,26.6,1,0
R-2023-05-01-03,2023-05-01 16:07:20,47.61752,-122.33993,22.5,1,0
R-2023-05-01-03,2023-05-01 16:16:01,47.5827,-122.29992,3.1,1,0
R-2023-05-01-03,2023-05-01 16:24:42,47.63007,-122.31884,34.4,1,0
R-2023-05-01-03,2023-05-01 16:33:23,47.60516,-122.35672,29.0,1,0
R-2023-05-01-03,2023-05-01 16:42:04,47.63449,-122.28671,23.4,1,0
R-2023-05-01-03,2023-05-01 16:50:45,47.62383,-122.30286,25.5,1,0
R-2023-05-01-03,2023-05-01 16:59:26,47.57279,-122.33991,22.7,1,0
R-2023-05-01-03,2023-05-01 17:08:07,47.59151,-122.30792,31.0,1,0
R-2023-05-01-03,2023-05-01 17:16:48,47.60823,-122.35478,20.3,1,0
R-2023-05-01-03,2023-05-01 17:25:29,47.60242,-122.34387,3.1,1,0
R-2023-05-01-03,2023-05-01 17:34:10,47.63101,-122.31266,1.5,1,1
R-2023-05-01-03,2023-05-01 17:42:51,47.58555,-122.33336,29.4,1,0
R-2023-05-01-03,2023-05-01 17:51:32,47.62795,-122.34751,35.6,1,0
R-2023-05-01-03,2023-05-01 18:00:13,47.58638,-122.35839,28.7,1,0
R-2023-05-01-03,2023-05-01 18:08:54,47.65247,-122.3268,4.5,1,0
R-2023-05-01-03,2023-05-01 18:17:35,47.60604,-122.32083,32.3,1,0
R-2023-05-01-03,2023-05-01 18:26:16,47.60459,-122.34076,34.6,1,0
R-2023-05-01-03,2023-05-01 18:34:57,47.60314,-122.3184,25.5,1,0
R-2023-05-01-03,2023-05-01 18:43:38,47.59245,-122.31683,0.0,1,1
R-2023-05-01-03,2023-05-01 18:52:20,47.64432,-122.34587,32.8,1,0
R-2023-05-01-04,2023-05-01 10:07:00,42.36067,-71.03967,1.6,1,1
R-2023-05-01-04,2023-05-01 10:17:18,42.3648,-71.058,19.7,1,0
R-2023-05-01-04,2023-05-01 10:27:37,42.35178,-71.0431,7.3,1,0
R-2023-05-01-04,2023-05-01 10:37:55,42.3975,-71.04862,20.9,1,0
R-2023-05-01-04,2023-05-01 10:48:14,42.35132,-71.07667,30.6,1,0
R-2023-05-01-04,2023-05-01 10:58:33,42.34751,-71.0338,31.1,1,0
R-2023-05-01-04,2023-05-01 11:08:51,42.37627,-71.06261,0.0,1,1
R-2023-05-01-04,2023-05-01 11:19:10,42.34173,-71.08733,1.0,1,1
R-2023-05-01-04,2023-05-01 11:29:28,42.37712,-71.06001,32.7,1,0
R-2023-05-01-04,2023-05-01 11:39:47,42.32007,-71.08779,7.1,1,0
R-2023-05-01-04,2023-05-01 11:50:06,42.37996,-71.08201,20.4,1,0
R-2023-05-01-04,2023-05-01 12:00:24,42.36059,-71.06865,30.5,1,0
R-2023-05-01-04,2023-05-01 12:10:43,42.36014,-71.02892,37.3,1,0
R-2023-05-01-04,2023-05-01 12:21:01,42.37682,-71.0237,2.7,1,1
R-2023-05-01-04,2023-05-01 12:31:20,42.39014,-71.06985,28.2,1,0
R-2023-05-01-04,2023-05-01 12:41:39,42.3696,-71.04659,26.4,1,0
R-2023-05-01-04,2023-05-01 12:51:57,42.40187,-71.04632,29.8,1,0
R-2023-05-01-04,2023-05-01 13:02:16,42.35427,-71.09815,33.3,1,0
R-2023-05-01-04,2023-05-01 13:12:34,42.3191,-71.04786,41.0,1,0
R-2023-05-01-04,2023-05-01 13:22:53,42.35198,-71.06378,0.0,1,1
R-2023-05-01-04,2023-05-01 13:33:12,42.34144,-71.06643,23.3,1,0
R-2023-05-01-04,2023-05-01 13:43:30,42.35523,-71.0368,31.0,1,0
R-2023-05-01-04,2023-05-01 13:53:49,42.36905,-71.0541,19.5,1,0
R-2023-05-01-04,2023-05-01 14:04:08,42.38098,-71.05513,34.5,1,0
R-2023-05-01-04,2023-05-01 14:14:26,42.35242,-71.07344,20.3,1,0
R-2023-05-01-04,2023-05-01 14:24:45,42.33762,-71.04967,37.1,1,0
R-2023-05-01-04,2023-05-01 14:35:03,42.35265,-71.07087,24.2,1,0
R-2023-05-01-04,2023-05-01 14:45:22,42.37971,-71.05769,4.5,1,0
R-2023-05-01-04,2023-05-01 14:55:41,42.39038,-71.03861,20.4,1,0
R-2023-05-01-04,2023-05-01 15:05:59,42.32134,-71.06124,0.0,1,1
R-2023-05-01-04,2023-05-01 15:16:18,42.36281,-71.06338,1.9,1,1
R-2023-05-01-04,2023-05-01 15:26:36,42.34328,-71.09711,36.8,1,0
R-2023-05-01-04,2023-05-01 15:36:55,42.34538,-71.07305,29.6,1,0
R-2023-05-01-04,2023-05-01 15:47:14,42.34671,-71.04249,27.2,1,0
R-2023-05-01-04,2023-05-01 15:57:32,42.39449,-71.03905,26.9,1,0
R-2023-05-01-04,2023-05-01 16:07:51,42.35771,-71.06578,30.8,1,0
